🚀 Loading Fuel... (data/scraped_articles_backup.csv)
🔎 Preflight dave positive_rate=0.860 (sample=500)
🔎 Preflight sarah positive_rate=0.892 (sample=500)
🔎 Preflight gamer positive_rate=0.212 (sample=500)
🔎 Preflight investor positive_rate=0.812 (sample=500)
🔎 Preflight low_mood_audit positive_rate=0.938 (sample=500)
🔎 Preflight ai_doom positive_rate=0.290 (sample=500)
🔎 Preflight contrarian_chaos phase2_positive_rate=0.648 (sample=500)

🧠 Training on 16347 items | topics=4501 vibes=7 clusters=64 entities=19 events=14 | steps=400 | bot=multi
[Step 234] user:low_mood_audit loss: 5.645 grad:16.996 pred: 2.393 reward: 10.00 eps:0.16 exploit regret:    - hn:0.000 hc:0.00 | source_bbc | Analytical Deep Dive | Confronted over Greenland, Europe is ditching 
[Step 235] user:contrarian_chaos loss: 1.601 grad: 6.604 pred: 2.401 reward:  7.90 eps:0.16 exploit regret:    - hn:0.751 hc:0.92 | sootoday.com | Analytical Deep Dive | Tip from computer repair shop leads to child p
[Step 236] user:contrarian_chaos loss: 1.549 grad: 6.739 pred: 2.431 reward:  7.97 eps:0.16 exploit regret:    - hn:0.755 hc:0.92 | source_opentools | Analytical Deep Dive | SpaceX's Starlink: Connecting Every Phone to t
[Step 237] user:gamer loss: 4.677 grad:15.071 pred: 2.424 reward: 10.00 eps:0.35 exploit regret:    - hn:0.754 hc:0.92 | source_the_guardian | Analytical Deep Dive | US relies on rare foreign policy provision to 
[Step 238] user:dave  loss: 2.817 grad:12.143 pred: 2.482 reward:  6.93 eps:0.16 exploit regret:    - hn:0.761 hc:0.92 | sootoday.com | Analytical Deep Dive | Tip from computer repair shop leads to child p
[Step 239] user:dave  loss: 2.776 grad:10.819 pred: 2.437 reward:  6.75 eps:0.16 exploit regret:    - hn:0.756 hc:0.92 | source_economic_research_service_gov | Analytical Deep Dive | Poultry Expected To Continue Leading Global Me
[Step 240] user:low_mood_audit loss: 2.509 grad:11.388 pred: 2.454 reward:  7.13 eps:0.16 exploit regret: 2.87 hn:0.000 hc:0.00 | source_motortrend | Analytical Deep Dive | 2026 Honda Civic Review: Expert Insights, Pric
[Step 241] user:ai_doom loss: 5.905 grad:18.729 pred: 2.423 reward: 10.00 eps:0.16 exploit regret:    - hn:0.754 hc:0.92 | source_national_sustainable_agriculture_coalition | Analytical Deep Dive | A Deep Dive on the Senate’s Farm Bill Proposal
[Step 242] user:contrarian_chaos loss: 1.543 grad: 5.561 pred: 2.373 reward:  7.99 eps:0.16 exploit regret:    - hn:0.748 hc:0.91 | source_the_guardian | Analytical Deep Dive | Russia’s provocations are menacing Nato. The c
[Step 243] user:ai_doom loss: 6.146 grad:14.065 pred: 2.348 reward: -5.40 eps:0.16 exploit regret:    - hn:0.744 hc:0.91 | source_tasting_table | Analytical Deep Dive | 10 Kitchen Trends On The Way Out In 2026 - Tas
[Step 244] user:sarah loss: 1.764 grad: 5.400 pred: 2.312 reward:  7.37 eps:0.16 exploit regret:    - hn:0.739 hc:0.91 | source_daily_mail | Analytical Deep Dive | Products that really aren't worth the hype as 
[Step 245] user:ai_doom loss: 6.081 grad:13.493 pred: 2.336 reward: -5.48 eps:0.16 exploit regret:    - hn:0.743 hc:0.91 | source_the_verge | Analytical Deep Dive | ‘Shut up and focus on the mission’: Tech worke
[Step 246] user:gamer loss: 5.488 grad:11.326 pred: 2.303 reward: -4.77 eps:0.35 explore regret:    - hn:0.738 hc:0.91 | source_arkeonews | Analytical Deep Dive | A 7,800-Year-Old Massive Stone Wall Discovered
[Step 247] user:low_mood_audit loss: 1.540 grad: 5.692 pred: 2.281 reward:  7.21 eps:0.16 exploit regret:    - hn:0.000 hc:0.00 | source_the_verge | Analytical Deep Dive | ‘Shut up and focus on the mission’: Tech worke
[Step 248] user:gamer loss: 5.230 grad:10.133 pred: 2.280 reward: -4.54 eps:0.35 explore regret:    - hn:0.735 hc:0.91 | nyc.gov | Analytical Deep Dive | Mayor Adams, NYCEDC, Partners Open Civic Hall 
[Step 249] user:low_mood_audit loss: 1.496 grad: 5.780 pred: 2.280 reward:  7.78 eps:0.16 exploit regret:    - hn:0.000 hc:0.00 | source_australian_geographic | Analytical Deep Dive | Top 10 Tasmanian ghost towns - Australian Geog
[Step 250] user:investor loss: 3.920 grad: 8.687 pred: 2.277 reward: 10.00 eps:0.16 exploit regret: 0.00 hn:0.734 hc:0.91 | sootoday.com | Analytical Deep Dive | Tip from computer repair shop leads to child p
  └─ checkpoint step=250 rolling_reward_50=5.86 mean_regret_so_far=7.83
[Step 251] user:contrarian_chaos loss: 1.869 grad: 5.487 pred: 2.275 reward:  7.71 eps:0.16 exploit regret:    - hn:0.734 hc:0.91 | source_australian_geographic | Analytical Deep Dive | Top 10 Tasmanian ghost towns - Australian Geog
[Step 252] user:investor loss: 1.903 grad: 5.562 pred: 2.276 reward:  7.96 eps:0.16 explore regret:    - hn:0.734 hc:0.91 | nag.co.za | Analytical Deep Dive | Talking headphones and Battlefield 6 Season 2 
[Step 253] user:ai_doom loss: 5.543 grad:11.693 pred: 2.300 reward: -4.91 eps:0.16 exploit regret:    - hn:0.738 hc:0.91 | source_the_guardian | Analytical Deep Dive | Russia’s provocations are menacing Nato. The c
[Step 254] user:dave  loss: 2.442 grad: 7.813 pred: 2.341 reward:  6.60 eps:0.15 exploit regret:    - hn:0.743 hc:0.91 | source_luxembourg_times | Analytical Deep Dive | A deep dive into the world of immersive virtua
[Step 255] user:dave  loss: 1.563 grad: 5.371 pred: 2.349 reward:  7.89 eps:0.15 exploit regret:    - hn:0.744 hc:0.91 | source_windows_central | Analytical Deep Dive | NVIDIA RTX 5090 graphics cards are melting pow
[Step 256] user:contrarian_chaos loss: 5.778 grad:17.248 pred: 2.427 reward: 10.00 eps:0.15 exploit regret:    - hn:0.000 hc:0.00 | source_jd_supra | Analytical Deep Dive | Vital Signs: Digital Health Law Update | Winte
[Step 257] user:dave  loss: 2.417 grad: 9.730 pred: 2.444 reward:  5.59 eps:0.15 exploit regret:    - hn:0.757 hc:0.92 | source_sites_duke_express | Analytical Deep Dive | COVID-19 and The Credit Cycle: Revisited and 2
[Step 258] user:ai_doom loss: 5.846 grad:14.511 pred: 2.377 reward: -4.58 eps:0.15 exploit regret:    - hn:0.748 hc:0.92 | source_retro_dodo | Analytical Deep Dive | Ranking The Best Pocket Friendly Handhelds Of 
[Step 259] user:dave  loss: 2.273 grad: 9.187 pred: 2.436 reward:  6.39 eps:0.15 exploit regret:    - hn:0.756 hc:0.92 | source_boston_university | Analytical Deep Dive | Boston Business Journal: Healey unveils Massac
[Step 260] user:ai_doom loss: 5.569 grad:11.664 pred: 2.303 reward: -5.11 eps:0.35 exploit regret:15.11 hn:0.738 hc:0.91 | source_how_to_geek | Analytical Deep Dive | Bring Back the Weird: The 10 Best Strange PC C
[Step 261] user:contrarian_chaos loss: 1.959 grad: 6.894 pred: 2.367 reward:  7.53 eps:0.15 exploit regret:    - hn:0.747 hc:0.91 | bloomberg.com | Analytical Deep Dive | A Train Grows in Brooklyn - Bloomberg.com
[Step 262] user:sarah loss: 4.339 grad:12.621 pred: 2.369 reward: 10.00 eps:0.15 exploit regret:    - hn:0.747 hc:0.91 | source_magnolia_tribune | Analytical Deep Dive | Guest to chair hearing on non-intrusive inspec
[Step 263] user:contrarian_chaos loss: 2.234 grad: 6.213 pred: 2.269 reward:  7.65 eps:0.15 exploit regret:    - hn:0.733 hc:0.91 | source_the_financial_express | Analytical Deep Dive | Introducing the man behind Kajaria Ceramics: F
[Step 264] user:ai_doom loss: 4.908 grad: 1.965 pred: 2.361 reward: -5.22 eps:0.35 explore regret:    - hn:0.746 hc:0.91 | source_nieman_lab | Analytical Deep Dive | Predictions for Journalism 2026 - Nieman Lab
[Step 265] user:dave  loss: 2.643 grad: 7.544 pred: 2.288 reward:  5.73 eps:0.15 exploit regret:    - hn:0.736 hc:0.91 | source_devdiscourse | Analytical Deep Dive | Retail Reality Check: Consumer Weakness Signal
[Step 266] user:investor loss: 1.954 grad: 7.145 pred: 2.340 reward:  7.26 eps:0.15 exploit regret:    - hn:0.743 hc:0.91 | source_lexology | Analytical Deep Dive | AI Heists Santa’s Secrets: Elfred’s High-Tech 
[Step 267] user:gamer loss: 4.864 grad: 9.952 pred: 2.228 reward: 10.00 eps:0.35 explore regret:    - hn:0.727 hc:0.90 | source_european_council_on_foreign_relations | Analytical Deep Dive | Onwards and outwards: Why the EU needs to move
[Step 268] user:ai_doom loss: 4.770 grad: 2.758 pred: 2.298 reward: -5.05 eps:0.35 explore regret:    - hn:0.738 hc:0.91 | androidauthority.com | Analytical Deep Dive | Cinnamon Bun is baking: Google confirms Androi
[Step 269] user:low_mood_audit loss: 1.125 grad: 5.722 pred: 2.310 reward:  7.64 eps:0.15 exploit regret:    - hn:0.000 hc:0.00 | source_refresh_miami | Analytical Deep Dive | How Axis Helps Miami is raising the floor for 
[Step 270] user:ai_doom loss: 3.943 grad: 6.777 pred: 2.199 reward: 10.00 eps:0.35 explore regret: 0.00 hn:0.723 hc:0.90 | source_refresh_miami | Analytical Deep Dive | How Axis Helps Miami is raising the floor for 
[Step 271] user:dave  loss: 2.344 grad: 6.594 pred: 2.239 reward:  4.32 eps:0.15 explore regret:    - hn:0.729 hc:0.90 | source_daily_monitor | Analytical Deep Dive | How fintechs are caught up in a grantpreneur t
[Step 272] user:contrarian_chaos loss: 1.949 grad: 6.543 pred: 2.266 reward:  7.58 eps:0.15 exploit regret:    - hn:0.733 hc:0.91 | source_refresh_miami | Analytical Deep Dive | How Axis Helps Miami is raising the floor for 
[Step 273] user:ai_doom loss: 4.853 grad: 2.747 pred: 2.276 reward: -5.42 eps:0.35 exploit regret:    - hn:0.734 hc:0.91 | source_drug_channels | Analytical Deep Dive | Latest CMS Data Reveal Six Trends Reshaping U.
[Step 274] user:contrarian_chaos loss: 1.437 grad: 5.448 pred: 2.311 reward:  7.31 eps:0.15 exploit regret:    - hn:0.739 hc:0.91 | source_national_geographic | Analytical Deep Dive | Would your dog eat you if you died? Get the fa
[Step 275] user:dave  loss: 2.707 grad:11.839 pred: 2.386 reward:  4.49 eps:0.15 exploit regret:    - hn:0.749 hc:0.92 | source_refresh_miami | Analytical Deep Dive | How Axis Helps Miami is raising the floor for 
[Step 276] user:contrarian_chaos loss: 1.330 grad: 5.840 pred: 2.368 reward:  7.83 eps:0.15 exploit regret:    - hn:0.747 hc:0.91 | nag.co.za | Analytical Deep Dive | Talking headphones and Battlefield 6 Season 2 
[Step 277] user:investor loss: 1.285 grad: 5.776 pred: 2.384 reward:  7.48 eps:0.15 exploit regret:    - hn:0.749 hc:0.92 | source_refresh_miami | Analytical Deep Dive | How Axis Helps Miami is raising the floor for 
[Step 278] user:dave  loss: 6.844 grad:24.150 pred: 2.446 reward: 10.00 eps:0.15 exploit regret:    - hn:0.757 hc:0.92 | source_national_geographic | Analytical Deep Dive | Would your dog eat you if you died? Get the fa
[Step 279] user:investor loss: 1.250 grad: 5.784 pred: 2.409 reward:  7.65 eps:0.15 exploit regret:    - hn:0.752 hc:0.92 | source_national_geographic | Analytical Deep Dive | Would your dog eat you if you died? Get the fa
[Step 280] user:low_mood_audit loss: 0.805 grad: 6.130 pred: 2.453 reward:  7.50 eps:0.15 exploit regret: 2.50 hn:0.000 hc:0.00 | afm.aero | Analytical Deep Dive | US Flight School Hillsboro Aero Academy Shares
[Step 281] user:ai_doom loss: 4.567 grad: 8.435 pred: 1.998 reward: -4.69 eps:0.35 exploit regret:    - hn:0.690 hc:0.88 | source_the_african_exponent | Analytical Deep Dive | Top 10 Most Digitally Transformed Public Secto
[Step 282] user:contrarian_chaos loss: 1.622 grad:10.846 pred: 2.593 reward:  7.46 eps:0.14 exploit regret:    - hn:0.775 hc:0.93 | source_history_news_network | Analytical Deep Dive | Experiments With Reality: New Histories of the
[Step 283] user:low_mood_audit loss: 8.185 grad:26.895 pred: 2.602 reward: 10.00 eps:0.14 exploit regret:    - hn:0.000 hc:0.00 | transitcenter.org | Analytical Deep Dive | From Sorry to Superb: Everything You Need to K
[Step 284] user:investor loss: 1.036 grad: 5.794 pred: 2.585 reward:  7.88 eps:0.14 exploit regret:    - hn:0.774 hc:0.93 | source_daily_monitor | Analytical Deep Dive | How fintechs are caught up in a grantpreneur t
[Step 285] user:low_mood_audit loss: 0.635 grad: 5.916 pred: 2.591 reward:  7.63 eps:0.14 exploit regret:    - hn:0.000 hc:0.00 | source_daily_monitor | Analytical Deep Dive | How fintechs are caught up in a grantpreneur t
[Step 286] user:sarah loss: 5.347 grad:21.129 pred: 2.574 reward: 10.00 eps:0.14 exploit regret:    - hn:0.000 hc:0.00 | source_refresh_miami | Analytical Deep Dive | How Axis Helps Miami is raising the floor for 
[Step 287] user:gamer loss: 4.713 grad: 5.808 pred: 2.227 reward: -4.56 eps:0.14 exploit regret:    - hn:0.727 hc:0.90 | sootoday.com | Analytical Deep Dive | Tip from computer repair shop leads to child p
[Step 288] user:investor loss: 8.234 grad:25.904 pred: 2.660 reward: 10.00 eps:0.14 exploit regret:    - hn:0.782 hc:0.93 | realestate.com.au | Analytical Deep Dive | ‘How we transformed our home using AI’ - reale
[Step 289] user:ai_doom loss: 4.320 grad: 4.857 pred: 2.056 reward: -5.12 eps:0.35 explore regret:    - hn:0.700 hc:0.89 | source_the_financial_express | Analytical Deep Dive | This man lost Rs 1.27 lakh crore in a day but 
[Step 290] user:gamer loss: 4.008 grad: 6.011 pred: 1.848 reward: -5.32 eps:0.14 exploit regret:15.32 hn:0.661 hc:0.86 | source_the_african_exponent | Analytical Deep Dive | Top 10 Most Digitally Transformed Public Secto
[Step 291] user:low_mood_audit loss: 1.101 grad: 4.947 pred: 2.523 reward:  7.36 eps:0.14 exploit regret:    - hn:0.767 hc:0.93 | source_cambridge_university_press_assessment | Analytical Deep Dive | Commentary on the Appellate Body Report in EC–
[Step 292] user:ai_doom loss: 3.565 grad:13.774 pred: 0.923 reward:  7.40 eps:0.35 exploit regret:    - hn:0.442 hc:0.71 | source_adafruit | Analytical Deep Dive | 7+ Hours of Obscure Star Wars Tech Explained -
[Step 293] user:low_mood_audit loss: 3.948 grad:881.845 pred: 2.353 reward: 10.00 eps:0.14 exploit regret:    - hn:0.000 hc:0.00 | crn.com | Analytical Deep Dive | The 10 Coolest Open-Source Software Tools Of 2
[Step 294] user:investor loss: 4.219 grad: 6.048 pred: 2.126 reward: 10.00 eps:0.14 exploit regret:    - hn:0.711 hc:0.89 | source_adafruit | Analytical Deep Dive | From Russia with Code? The 2024 Arduino Open S
[Step 295] user:sarah loss:11.728 grad:45.148 pred: 0.614 reward: 10.00 eps:0.14 exploit regret:    - hn:0.358 hc:0.65 | source_daily_monitor | Analytical Deep Dive | How fintechs are caught up in a grantpreneur t
[Step 296] user:ai_doom loss: 3.695 grad:25.316 pred: 0.708 reward:  7.30 eps:0.14 exploit regret:    - hn:0.384 hc:0.67 | source_daily_monitor | Analytical Deep Dive | How fintechs are caught up in a grantpreneur t
[Step 297] user:low_mood_audit loss: 9.931 grad:39.266 pred: 0.907 reward: 10.00 eps:0.14 exploit regret:    - hn:0.437 hc:0.71 | source_real_estate_magazine_canada | Analytical Deep Dive | Tiny home movement offers real-world solutions
[Step 298] user:ai_doom loss: 2.997 grad:19.694 pred: 1.193 reward: -4.50 eps:0.35 explore regret:    - hn:0.514 hc:0.77 | source_real_estate_magazine_canada | Analytical Deep Dive | Tiny home movement offers real-world solutions
[Step 299] user:ai_doom loss: 3.170 grad:15.121 pred: 1.338 reward: -4.98 eps:0.14 exploit regret:    - hn:0.551 hc:0.79 | source_the_guardian | Analytical Deep Dive | A quarter of US shoppers have dumped favorite 
[Step 300] user:dave  loss: 5.240 grad:16.953 pred: 1.390 reward: 10.00 eps:0.14 exploit regret:-2.19 hn:0.000 hc:0.00 | source_real_estate_magazine_canada | Analytical Deep Dive | Tiny home movement offers real-world solutions
  └─ checkpoint step=300 rolling_reward_50=4.95 mean_regret_so_far=7.55
[Step 301] user:contrarian_chaos loss: 2.575 grad: 9.989 pred: 1.438 reward:  7.13 eps:0.14 exploit regret:    - hn:0.000 hc:0.00 | source_real_estate_magazine_canada | Analytical Deep Dive | Tiny home movement offers real-world solutions
[Step 302] user:low_mood_audit loss: 2.754 grad: 7.875 pred: 1.637 reward:  7.24 eps:0.14 exploit regret:    - hn:0.000 hc:0.00 | nag.co.za | Analytical Deep Dive | Talking headphones and Battlefield 6 Season 2 
[Step 303] user:sarah loss: 3.060 grad: 7.477 pred: 1.648 reward:  7.59 eps:0.14 exploit regret:    - hn:0.619 hc:0.84 | source_real_estate_magazine_canada | Analytical Deep Dive | Tiny home movement offers real-world solutions
[Step 304] user:gamer loss: 3.750 grad: 8.288 pred: 1.741 reward: -5.07 eps:0.35 exploit regret:    - hn:0.641 hc:0.85 | source_real_estate_magazine_canada | Analytical Deep Dive | Tiny home movement offers real-world solutions
[Step 305] user:sarah loss: 6.748 grad:13.394 pred: 1.766 reward: 10.00 eps:0.14 exploit regret:    - hn:0.645 hc:0.85 | source_kvue | Analytical Deep Dive | Austin Transit Partnership provides new detail
[Step 306] user:low_mood_audit loss: 6.158 grad:11.834 pred: 1.849 reward: 10.00 eps:0.14 exploit regret:    - hn:0.000 hc:0.00 | source_adafruit | Analytical Deep Dive | 7+ Hours of Obscure Star Wars Tech Explained -
[Step 307] user:ai_doom loss: 4.436 grad: 6.963 pred: 1.894 reward: 10.00 eps:0.13 exploit regret:    - hn:0.670 hc:0.87 | source_kvue | Analytical Deep Dive | Austin Transit Partnership provides new detail
[Step 308] user:investor loss: 4.103 grad: 5.481 pred: 2.015 reward: -4.66 eps:0.13 exploit regret:    - hn:0.691 hc:0.88 | source_kvue | Analytical Deep Dive | Austin Transit Partnership provides new detail
[Step 309] user:dave  loss: 3.090 grad: 4.829 pred: 2.054 reward:  5.65 eps:0.13 explore regret:    - hn:0.698 hc:0.89 | source_kvue | Analytical Deep Dive | Austin Transit Partnership provides new detail
[Step 310] user:investor loss: 3.210 grad: 5.225 pred: 2.008 reward:  7.45 eps:0.13 exploit regret: 2.55 hn:0.691 hc:0.88 | source_real_estate_magazine_canada | Analytical Deep Dive | Tiny home movement offers real-world solutions
[Step 311] user:investor loss: 4.066 grad: 5.531 pred: 1.984 reward: 10.00 eps:0.13 exploit regret:    - hn:0.687 hc:0.88 | source_uk_fundraising | Analytical Deep Dive | Future philanthropy: the tech, trends and tale
[Step 312] user:sarah loss: 4.018 grad: 8.318 pred: 1.889 reward: 10.00 eps:0.13 exploit regret:    - hn:0.667 hc:0.87 | source_adafruit | Analytical Deep Dive | 7+ Hours of Obscure Star Wars Tech Explained -
[Step 313] user:ai_doom loss: 4.495 grad:10.759 pred: 1.897 reward: -5.52 eps:0.13 exploit regret:    - hn:0.671 hc:0.87 | source_techcrunch | Analytical Deep Dive | Hydrolix snares $10M seed to lower the cost of
[Step 314] user:low_mood_audit loss: 1.992 grad: 7.713 pred: 1.865 reward:  7.74 eps:0.13 exploit regret:    - hn:0.000 hc:0.00 | source_uk_fundraising | Analytical Deep Dive | Future philanthropy: the tech, trends and tale
[Step 315] user:investor loss: 2.563 grad: 8.227 pred: 1.864 reward:  7.08 eps:0.13 exploit regret:    - hn:0.665 hc:0.87 | source_times_of_india | Analytical Deep Dive | Delhi to have its own night street food market
[Step 316] user:gamer loss: 4.419 grad:11.238 pred: 1.884 reward: -5.00 eps:0.35 explore regret:    - hn:0.671 hc:0.87 | source_uk_fundraising | Analytical Deep Dive | Future philanthropy: the tech, trends and tale
[Step 317] user:dave  loss: 2.296 grad: 6.183 pred: 1.903 reward:  5.44 eps:0.13 explore regret:    - hn:0.673 hc:0.87 | source_uk_fundraising | Analytical Deep Dive | Future philanthropy: the tech, trends and tale
[Step 318] user:contrarian_chaos loss: 6.657 grad:16.682 pred: 1.786 reward: 10.00 eps:0.13 exploit regret:    - hn:0.649 hc:0.86 | source_adafruit | Analytical Deep Dive | 7+ Hours of Obscure Star Wars Tech Explained -
[Step 319] user:ai_doom loss: 4.561 grad:15.322 pred: 1.704 reward: -5.16 eps:0.13 exploit regret:    - hn:0.634 hc:0.85 | source_pr_newswire | Analytical Deep Dive | Essentia Organic Mattress Marks 20 Years with 
[Step 320] user:contrarian_chaos loss: 3.085 grad:21.911 pred: 1.531 reward:  7.55 eps:0.13 exploit regret: 2.45 hn:0.595 hc:0.82 | source_daily_monitor | Analytical Deep Dive | How fintechs are caught up in a grantpreneur t
[Step 321] user:ai_doom loss: 4.308 grad:15.442 pred: 1.621 reward: -4.83 eps:0.35 explore regret:    - hn:0.616 hc:0.84 | source_numismatic_news | Analytical Deep Dive | Do Gold Price Movements Signal Future Inflatio
[Step 322] user:dave  loss: 1.320 grad: 7.467 pred: 1.564 reward:  6.48 eps:0.13 exploit regret:    - hn:0.601 hc:0.82 | source_adafruit | Analytical Deep Dive | 7+ Hours of Obscure Star Wars Tech Explained -
[Step 323] user:sarah loss: 2.822 grad:11.564 pred: 1.517 reward:  7.82 eps:0.13 exploit regret:    - hn:0.592 hc:0.82 | source_propublica | Analytical Deep Dive | How the Trump Tax Law Created a Loophole That 
[Step 324] user:ai_doom loss: 2.787 grad: 8.291 pred: 1.596 reward:  7.64 eps:0.35 explore regret:    - hn:0.611 hc:0.83 | source_modern_war_institute | Analytical Deep Dive | Tanking Up: Understanding the Materiel—and Mor
[Step 325] user:sarah loss: 2.009 grad:10.680 pred: 1.489 reward:  7.38 eps:0.13 exploit regret:    - hn:0.586 hc:0.82 | source_hindustan_times | Analytical Deep Dive | Microsoft CEO Satya Nadella reveals the 5 AI p
[Step 326] user:low_mood_audit loss: 6.691 grad:20.133 pred: 1.538 reward: 10.00 eps:0.13 exploit regret:    - hn:0.596 hc:0.82 | source_propublica | Analytical Deep Dive | How the Trump Tax Law Created a Loophole That 
[Step 327] user:gamer loss: 4.737 grad:19.728 pred: 1.514 reward: -5.37 eps:0.35 explore regret:    - hn:0.595 hc:0.82 | source_refresh_miami | Analytical Deep Dive | How Axis Helps Miami is raising the floor for 
[Step 328] user:sarah loss: 4.860 grad:11.721 pred: 1.656 reward: 10.00 eps:0.13 exploit regret:    - hn:0.623 hc:0.84 | source_the_verge | Analytical Deep Dive | ‘Shut up and focus on the mission’: Tech worke
[Step 329] user:dave  loss: 4.199 grad:12.392 pred: 1.622 reward: 10.00 eps:0.13 exploit regret:    - hn:0.615 hc:0.83 | source_propublica | Analytical Deep Dive | How the Trump Tax Law Created a Loophole That 
[Step 330] user:ai_doom loss: 3.963 grad:11.694 pred: 1.615 reward: -4.67 eps:0.13 explore regret:14.67 hn:0.617 hc:0.84 | source_the_next_platform | Analytical Deep Dive | Deep Dive Into Qualcomm’s Centriq Arm Server E
[Step 331] user:gamer loss: 4.106 grad:11.547 pred: 1.609 reward: -5.26 eps:0.35 exploit regret:    - hn:0.612 hc:0.83 | source_daily_monitor | Analytical Deep Dive | How fintechs are caught up in a grantpreneur t
[Step 332] user:dave  loss: 1.464 grad: 6.900 pred: 1.490 reward:  4.95 eps:0.13 explore regret:    - hn:0.586 hc:0.82 | source_the_verge | Analytical Deep Dive | ‘Shut up and focus on the mission’: Tech worke
[Step 333] user:contrarian_chaos loss: 4.167 grad: 2.425 pred: 2.207 reward: 10.00 eps:0.13 exploit regret:    - hn:0.721 hc:0.90 | source_propublica | Analytical Deep Dive | How the Trump Tax Law Created a Loophole That 
[Step 334] user:gamer loss: 3.666 grad:11.819 pred: 1.423 reward: -5.20 eps:0.35 exploit regret:    - hn:0.571 hc:0.81 | source_economic_research_service_gov | Analytical Deep Dive | Poultry Expected To Continue Leading Global Me
[Step 335] user:contrarian_chaos loss: 3.096 grad: 9.686 pred: 1.368 reward:  7.60 eps:0.12 exploit regret:    - hn:0.557 hc:0.80 | source_economic_research_service_gov | Analytical Deep Dive | Poultry Expected To Continue Leading Global Me
[Step 336] user:low_mood_audit loss: 2.818 grad: 8.336 pred: 1.450 reward:  7.48 eps:0.12 exploit regret:    - hn:0.000 hc:0.00 | source_hindustan_times | Analytical Deep Dive | Microsoft CEO Satya Nadella reveals the 5 AI p
[Step 337] user:contrarian_chaos loss: 4.485 grad: 5.430 pred: 1.839 reward: 10.00 eps:0.12 exploit regret:    - hn:0.659 hc:0.86 | source_times_of_india | Analytical Deep Dive | In next 10 years, India should lead startup tr
[Step 338] user:investor loss: 3.496 grad: 3.346 pred: 2.087 reward:  7.39 eps:0.12 exploit regret:    - hn:0.702 hc:0.89 | source_propublica | Analytical Deep Dive | How the Trump Tax Law Created a Loophole That 
[Step 339] user:sarah loss: 4.665 grad:13.402 pred: 1.409 reward: 10.00 eps:0.12 exploit regret:    - hn:0.566 hc:0.80 | source_economic_research_service_gov | Analytical Deep Dive | Poultry Expected To Continue Leading Global Me
[Step 340] user:investor loss: 2.709 grad: 6.129 pred: 1.677 reward:  7.06 eps:0.12 exploit regret: 2.94 hn:0.627 hc:0.84 | source_economic_research_service_gov | Analytical Deep Dive | Poultry Expected To Continue Leading Global Me
[Step 341] user:dave  loss: 3.387 grad: 3.125 pred: 2.192 reward:  7.07 eps:0.12 exploit regret:    - hn:0.721 hc:0.90 | source_runtothefinish | Analytical Deep Dive | On Cloudmonster Review | It Still Lives Up to 
[Step 342] user:low_mood_audit loss: 2.697 grad: 5.178 pred: 1.876 reward:  7.44 eps:0.12 exploit regret:    - hn:0.000 hc:0.00 | source_times_of_india | Analytical Deep Dive | In next 10 years, India should lead startup tr
[Step 343] user:contrarian_chaos loss: 2.241 grad: 6.664 pred: 1.704 reward:  7.05 eps:0.12 exploit regret:    - hn:0.633 hc:0.85 | source_hindustan_times | Analytical Deep Dive | Microsoft CEO Satya Nadella reveals the 5 AI p
[Step 344] user:dave  loss: 1.731 grad: 7.203 pred: 1.620 reward:  4.86 eps:0.12 exploit regret:    - hn:0.615 hc:0.83 | source_times_of_india | Analytical Deep Dive | In next 10 years, India should lead startup tr
[Step 345] user:sarah loss: 2.662 grad: 5.190 pred: 1.985 reward:  7.66 eps:0.12 exploit regret:    - hn:0.686 hc:0.88 | source_times_of_india | Analytical Deep Dive | In next 10 years, India should lead startup tr
[Step 346] user:investor loss: 2.563 grad: 5.149 pred: 2.006 reward:  7.70 eps:0.12 exploit regret:    - hn:0.691 hc:0.88 | source_the_business_journals | Analytical Deep Dive | Demdaco will lay off 52 employees as gift comp
[Step 347] user:sarah loss: 9.416 grad:29.806 pred: 1.721 reward: 10.00 eps:0.12 exploit regret:    - hn:0.636 hc:0.85 | source_modern_war_institute | Analytical Deep Dive | Tanking Up: Understanding the Materiel—and Mor
[Step 348] user:contrarian_chaos loss: 1.858 grad: 7.016 pred: 1.993 reward:  7.88 eps:0.12 exploit regret:    - hn:0.689 hc:0.88 | source_civicscience | Analytical Deep Dive | 3 Things To Know: Increased Health and Wellnes
[Step 349] user:ai_doom loss: 6.852 grad:27.970 pred: 1.979 reward: -4.85 eps:0.35 explore regret:    - hn:0.687 hc:0.88 | source_precedence_research | Analytical Deep Dive | Gaming Console Market Size to Hit USD 70.87 Bn
[Step 350] user:investor loss: 7.938 grad:33.144 pred: 2.095 reward: -5.09 eps:0.12 exploit regret:15.09 hn:0.705 hc:0.89 | source_abc_news | Somber Reflection | 1st human known to be infected with H5N5 strai
  └─ checkpoint step=350 rolling_reward_50=4.91 mean_regret_so_far=7.55
[Step 351] user:gamer loss: 6.403 grad:17.392 pred: 2.331 reward: -5.04 eps:0.35 explore regret:    - hn:0.743 hc:0.91 | source_the_new_york_times | Analytical Deep Dive | From Retro Glamour to the Librarian Look (Publ
